date,state,fips,cases,deaths
11/14/2021,Alabama,1,839695,15981
11/14/2021,Alaska,2,144212,811
11/14/2021,American Samoa,60,1,0
11/14/2021,Arizona,4,1214419,21653
11/14/2021,Arkansas,5,519760,8567
11/14/2021,California,6,5006960,73286
11/14/2021,Colorado,8,787917,8823
11/14/2021,Connecticut,9,407750,8809
11/14/2021,Delaware,10,147875,2141
11/14/2021,District of Columbia,11,65371,1194
11/14/2021,Florida,12,3669489,60698
11/14/2021,Georgia,13,1612676,28782
11/14/2021,Guam,66,19882,259
11/14/2021,Hawaii,15,82986,974
11/14/2021,Idaho,16,299881,3746
11/14/2021,Illinois,17,1740923,28986
11/14/2021,Indiana,18,1053167,17088
11/14/2021,Iowa,19,503564,7166
11/14/2021,Kansas,20,448688,6644
11/14/2021,Kentucky,21,765280,10333
11/14/2021,Louisiana,22,764354,14685
11/14/2021,Maine,23,111145,1230
11/14/2021,Maryland,24,571857,11061
11/14/2021,Massachusetts,25,873281,19159
11/14/2021,Michigan,26,1344352,24284
11/14/2021,Minnesota,27,841749,9120
11/14/2021,Mississippi,28,508469,10187
11/14/2021,Missouri,29,889234,13071
11/14/2021,Montana,30,184595,2481
11/14/2021,Nebraska,31,295244,2794
11/14/2021,Nevada,32,459878,7808
11/14/2021,New Hampshire,33,144626,1622
11/14/2021,New Jersey,34,1218406,28172
11/14/2021,New Mexico,35,292078,5171
11/14/2021,New York,36,2624840,56475
11/14/2021,North Carolina,37,1503936,18431
11/14/2021,North Dakota,38,155190,1851
11/14/2021,Northern Mariana Islands,69,343,3
11/14/2021,Ohio,39,1604488,25643
11/14/2021,Oklahoma,40,652731,10879
11/14/2021,Oregon,41,378174,4750
11/14/2021,Pennsylvania,42,1644848,32401
11/14/2021,Puerto Rico,72,220158,3257
11/14/2021,Rhode Island,44,183257,2890
11/14/2021,South Carolina,45,906945,13983
11/14/2021,South Dakota,46,159343,2281
11/14/2021,Tennessee,47,1265579,16529
11/14/2021,Texas,48,4275822,73110
11/14/2021,Utah,49,571628,3347
11/14/2021,Vermont,50,44801,393
11/14/2021,Virgin Islands,78,7329,84
11/14/2021,Virginia,51,942837,14321
11/14/2021,Washington,53,752831,8979
11/14/2021,West Virginia,54,283075,4610
11/14/2021,Wisconsin,55,921389,9679
11/14/2021,Wyoming,56,107483,1298